"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
0.710603,0.005248,74,1,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","gpu_kernel_one(double*, double*, double*, double*, double*)",457
0.710614,0.004608,293,1,1,256,1,1,16,0,2.000000,,,,,"TITAN V (0)","1","7","gpu_kernel_two(double*, double*, double*)",458
0.710625,0.001600,,,,,,,,,,0.002235,1.364388,"Device","Pageable","TITAN V (0)","1","7","[CUDA memcpy DtoH]",459
0.710646,0.369471,75000,1,1,64,1,1,18,0,0.500000,,,,,"TITAN V (0)","1","7","gpu_kernel_three(int*, int*, double*, double*, double*)",460
0.711016,0.005792,293,1,1,256,1,1,16,0,2.000000,,,,,"TITAN V (0)","1","7","gpu_kernel_four(double*, double*, double*, double*)",461
0.711031,0.001664,,,,,,,,,,0.002235,1.311911,"Device","Pageable","TITAN V (0)","1","7","[CUDA memcpy DtoH]",462
0.711052,0.005664,1172,1,1,64,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","gpu_kernel_five_1(double, double*, double*)",463
0.711062,0.005376,1172,1,1,64,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","gpu_kernel_five_2(double, double*, double*)",464
0.711072,0.004640,293,1,1,256,1,1,16,0,2.000000,,,,,"TITAN V (0)","1","7","gpu_kernel_six(double*, double*)",465
0.711083,0.001568,,,,,,,,,,0.002235,1.392232,"Device","Pageable","TITAN V (0)","1","7","[CUDA memcpy DtoH]",466
0.711104,0.003904,147,1,1,512,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","gpu_kernel_seven(double, double*, double*)",467
0.711114,0.370303,75000,1,1,64,1,1,18,0,0.500000,,,,,"TITAN V (0)","1","7","gpu_kernel_three(int*, int*, double*, double*, double*)",468
0.711486,0.005952,293,1,1,256,1,1,16,0,2.000000,,,,,"TITAN V (0)","1","7","gpu_kernel_four(double*, double*, double*, double*)",469
0.711493,0.001664,,,,,,,,,,0.002235,1.311911,"Device","Pageable","TITAN V (0)","1","7","[CUDA memcpy DtoH]",470
0.711515,0.005696,1172,1,1,64,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","gpu_kernel_five_1(double, double*, double*)",471
0.711524,0.005280,1172,1,1,64,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","gpu_kernel_five_2(double, double*, double*)",472
0.711535,0.004608,293,1,1,256,1,1,16,0,2.000000,,,,,"TITAN V (0)","1","7","gpu_kernel_six(double*, double*)",473
0.711544,0.001568,,,,,,,,,,0.002235,1.392232,"Device","Pageable","TITAN V (0)","1","7","[CUDA memcpy DtoH]",474
0.711566,0.003936,147,1,1,512,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","gpu_kernel_seven(double, double*, double*)",475
0.711576,0.369951,75000,1,1,64,1,1,18,0,0.500000,,,,,"TITAN V (0)","1","7","gpu_kernel_three(int*, int*, double*, double*, double*)",476
0.711947,0.005727,293,1,1,256,1,1,16,0,2.000000,,,,,"TITAN V (0)","1","7","gpu_kernel_four(double*, double*, double*, double*)",477
0.711961,0.001664,,,,,,,,,,0.002235,1.311911,"Device","Pageable","TITAN V (0)","1","7","[CUDA memcpy DtoH]",478
0.711982,0.005632,1172,1,1,64,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","gpu_kernel_five_1(double, double*, double*)",479
0.711992,0.005312,1172,1,1,64,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","gpu_kernel_five_2(double, double*, double*)",480
