"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
26.340892,0.005728,74,1,1,1024,1,1,22,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_one_gpu$2413(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1104
26.341078,0.005728,293,1,1,256,1,1,22,0,2.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_two_gpu$2412(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1107
26.341175,0.002720,,,,,,,,,,0.017883,6.420647,"Device","Pageable","TITAN V (0)","1","7","[CUDA memcpy DtoH]",1110
26.341507,0.394846,75000,1,1,64,1,1,39,0,0.500000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_three_gpu$2411(Array<int, int=1, A, mutable, aligned>, Array<int, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>)",1113
26.341903,0.007520,293,1,1,256,1,1,22,0,2.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_four_gpu$2410(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1116
26.341916,0.002752,,,,,,,,,,0.017883,6.345989,"Device","Pageable","TITAN V (0)","1","7","[CUDA memcpy DtoH]",1119
26.342198,0.005888,1172,1,1,64,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_five_1_gpu$248(double, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1122
26.342366,0.005568,1172,1,1,64,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_five_2_gpu$249(double, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1125
26.342528,0.005600,293,1,1,256,1,1,22,0,2.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_six_gpu$247(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1128
26.342630,0.002720,,,,,,,,,,0.017883,6.420647,"Device","Pageable","TITAN V (0)","1","7","[CUDA memcpy DtoH]",1131
26.342902,0.004096,147,1,1,512,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_seven_gpu$246(double, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1134
26.343120,0.394461,75000,1,1,64,1,1,39,0,0.500000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_three_gpu$2411(Array<int, int=1, A, mutable, aligned>, Array<int, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>)",1137
26.343516,0.007392,293,1,1,256,1,1,22,0,2.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_four_gpu$2410(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1140
26.343527,0.002720,,,,,,,,,,0.017883,6.420647,"Device","Pageable","TITAN V (0)","1","7","[CUDA memcpy DtoH]",1143
26.343798,0.005856,1172,1,1,64,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_five_1_gpu$248(double, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1146
26.343964,0.005632,1172,1,1,64,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_five_2_gpu$249(double, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1149
26.344123,0.005536,293,1,1,256,1,1,22,0,2.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_six_gpu$247(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1152
26.344225,0.002688,,,,,,,,,,0.017883,6.497084,"Device","Pageable","TITAN V (0)","1","7","[CUDA memcpy DtoH]",1155
26.344496,0.004128,147,1,1,512,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_seven_gpu$246(double, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1158
26.344716,0.394493,75000,1,1,64,1,1,39,0,0.500000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_three_gpu$2411(Array<int, int=1, A, mutable, aligned>, Array<int, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>)",1161
