"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
63.199093,0.011296,147,1,1,1024,1,1,22,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_one_gpu$2413(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1104
63.199280,0.008000,586,1,1,256,1,1,22,0,2.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_two_gpu$2412(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1107
63.199381,0.005472,,,,,,,,,,0.035767,6.383100,"Device","Pageable","TITAN V (0)","1","7","[CUDA memcpy DtoH]",1110
63.199777,1.033882,150000,1,1,64,1,1,39,0,0.500000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_three_gpu$2411(Array<int, int=1, A, mutable, aligned>, Array<int, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>)",1113
63.200812,0.011392,586,1,1,256,1,1,22,0,2.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_four_gpu$2410(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1116
63.200831,0.005920,,,,,,,,,,0.035767,5.900054,"Device","Pageable","TITAN V (0)","1","7","[CUDA memcpy DtoH]",1119
63.201199,0.008096,2344,1,1,64,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_five_1_gpu$248(double, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1122
63.201371,0.007712,2344,1,1,64,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_five_2_gpu$249(double, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1125
63.201534,0.007296,586,1,1,256,1,1,22,0,2.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::gpu_kernel_six_gpu$247(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int)",1128
63.201632,0.005472,,,,,,,,,,0.035767,6.383100,"Device","Pageable","TITAN V (0)","1","7","[CUDA memcpy DtoH]",1131
