"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
0.641523,0.216512,100,100,1,512,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","ssor_gpu_kernel_1(double*, int, int, int)",887
0.641741,0.008639,1,1,1,1,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",888
0.641750,0.007616,2,1,1,2,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",889
0.641759,0.007232,3,1,1,3,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",890
0.641767,0.007104,4,1,1,4,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",891
0.641775,0.007168,5,1,1,5,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",892
0.641783,0.007104,6,1,1,6,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",893
0.641791,0.007360,7,1,1,7,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",894
0.641800,0.007232,8,1,1,8,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",895
0.641808,0.007008,9,1,1,9,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",896
0.641816,0.007008,10,1,1,10,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",897
0.641824,0.007040,11,1,1,11,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",898
0.641832,0.007168,12,1,1,12,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",899
0.641841,0.007104,13,1,1,13,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",900
0.641849,0.007136,14,1,1,14,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",901
0.641857,0.007040,15,1,1,15,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",902
0.641865,0.007424,16,1,1,16,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",903
0.641873,0.007072,17,1,1,17,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",904
0.641881,0.007232,18,1,1,18,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",905
0.641889,0.007200,19,1,1,19,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",906
0.641897,0.007232,20,1,1,20,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",907
0.641906,0.007232,21,1,1,21,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",908
0.641922,0.007296,22,1,1,22,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",909
0.641939,0.007296,23,1,1,23,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",910
0.641957,0.007392,24,1,1,24,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",911
0.641975,0.007552,25,1,1,25,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",912
0.641993,0.007360,26,1,1,26,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",913
0.642010,0.007360,27,1,1,27,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",914
0.642027,0.007584,28,1,1,28,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",915
0.642045,0.007424,29,1,1,29,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",916
0.642062,0.007424,30,1,1,30,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",917
0.642079,0.007552,31,1,1,31,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",918
0.642096,0.007584,32,1,1,32,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",919
0.642113,0.007296,33,1,1,33,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",920
0.642131,0.007552,34,1,1,34,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",921
0.642148,0.007488,35,1,1,35,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",922
0.642166,0.007616,36,1,1,36,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",923
0.642183,0.007552,37,1,1,37,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",924
0.642201,0.007488,38,1,1,38,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",925
0.642219,0.007616,39,1,1,39,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",926
0.642235,0.007584,40,1,1,40,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",927
0.642252,0.007711,41,1,1,41,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",928
0.642269,0.007584,42,1,1,42,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",929
0.642286,0.007648,43,1,1,43,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",930
0.642304,0.007840,44,1,1,44,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",931
0.642321,0.007680,45,1,1,45,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",932
0.642338,0.007616,46,1,1,46,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",933
0.642356,0.007840,47,1,1,47,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",934
0.642374,0.007744,48,1,1,48,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",935
0.642391,0.008000,49,1,1,49,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",936
0.642410,0.008416,50,1,1,50,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",937
0.642428,0.008512,51,1,1,51,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",938
0.642446,0.007968,52,1,1,52,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",939
0.642463,0.008352,53,1,1,53,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",940
0.642480,0.008192,54,1,1,54,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",941
0.642497,0.008384,55,1,1,55,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",942
0.642516,0.008544,56,1,1,56,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",943
0.642533,0.008448,57,1,1,57,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",944
0.642550,0.008384,58,1,1,58,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",945
0.642567,0.008256,59,1,1,59,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",946
0.642586,0.008480,60,1,1,60,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",947
0.642603,0.008512,61,1,1,61,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",948
0.642620,0.008576,62,1,1,62,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",949
0.642637,0.009088,63,1,1,63,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",950
0.642655,0.008832,64,1,1,64,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",951
0.642673,0.008352,65,1,1,65,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",952
0.642692,0.008288,66,1,1,66,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",953
0.642710,0.008704,67,1,1,67,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",954
0.642728,0.008448,68,1,1,68,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",955
0.642746,0.008448,69,1,1,69,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",956
0.642763,0.008544,70,1,1,70,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",957
