"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
0.727296,0.750654,160,160,1,512,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","ssor_gpu_kernel_1(double*, int, int, int)",1247
0.728048,0.007872,1,1,1,1,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1248
0.728057,0.006976,2,1,1,2,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1249
0.728065,0.006688,3,1,1,3,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1250
0.728072,0.006720,4,1,1,4,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1251
0.728080,0.006752,5,1,1,5,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1252
0.728087,0.006688,6,1,1,6,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1253
0.728095,0.006656,7,1,1,7,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1254
0.728102,0.006752,8,1,1,8,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1255
0.728110,0.006656,9,1,1,9,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1256
0.728118,0.006496,10,1,1,10,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1257
0.728125,0.006560,11,1,1,11,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1258
0.728132,0.006688,12,1,1,12,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1259
0.728140,0.006656,13,1,1,13,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1260
0.728148,0.007072,14,1,1,14,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1261
0.728155,0.006720,15,1,1,15,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1262
0.728163,0.006656,16,1,1,16,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1263
0.728171,0.006624,17,1,1,17,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1264
0.728178,0.006688,18,1,1,18,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1265
0.728186,0.006784,19,1,1,19,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1266
0.728193,0.006848,20,1,1,20,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1267
0.728201,0.006816,21,1,1,21,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1268
0.728209,0.006816,22,1,1,22,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1269
0.728216,0.006880,23,1,1,23,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1270
0.728224,0.006752,24,1,1,24,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1271
0.728232,0.006816,25,1,1,25,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1272
0.728239,0.006688,26,1,1,26,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1273
0.728247,0.006688,27,1,1,27,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1274
0.728255,0.006944,28,1,1,28,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1275
0.728262,0.007008,29,1,1,29,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1276
0.728270,0.007040,30,1,1,30,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1277
0.728278,0.006912,31,1,1,31,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1278
0.728286,0.007008,32,1,1,32,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1279
0.728294,0.007072,33,1,1,33,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1280
0.728302,0.007168,34,1,1,34,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1281
0.728310,0.006944,35,1,1,35,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1282
0.728318,0.007040,36,1,1,36,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1283
0.728326,0.006976,37,1,1,37,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1284
0.728334,0.007104,38,1,1,38,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1285
0.728342,0.007040,39,1,1,39,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1286
0.728350,0.007104,40,1,1,40,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1287
0.728358,0.007104,41,1,1,41,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1288
0.728366,0.007104,42,1,1,42,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1289
0.728374,0.007072,43,1,1,43,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1290
0.728382,0.007232,44,1,1,44,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1291
0.728390,0.007136,45,1,1,45,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1292
0.728398,0.007200,46,1,1,46,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1293
0.728406,0.007424,47,1,1,47,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1294
0.728415,0.007520,48,1,1,48,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1295
0.728423,0.007552,49,1,1,49,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1296
0.728432,0.007583,50,1,1,50,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1297
0.728440,0.007520,51,1,1,51,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1298
0.728448,0.007840,52,1,1,52,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1299
0.728457,0.007680,53,1,1,53,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1300
0.728466,0.007648,54,1,1,54,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1301
0.728474,0.007936,55,1,1,55,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1302
0.728483,0.008000,56,1,1,56,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1303
0.728492,0.007840,57,1,1,57,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1304
0.728501,0.007904,58,1,1,58,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1305
0.728509,0.008288,59,1,1,59,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1306
0.728518,0.008064,60,1,1,60,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1307
0.728527,0.007872,61,1,1,61,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1308
0.728536,0.007936,62,1,1,62,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1309
0.728545,0.008384,63,1,1,63,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1310
0.728555,0.008864,64,1,1,64,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1311
0.728564,0.007872,65,1,1,65,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1312
0.728573,0.007936,66,1,1,66,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1313
0.728582,0.008160,67,1,1,67,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1314
0.728591,0.007968,68,1,1,68,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1315
0.728600,0.008288,69,1,1,69,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1316
0.728609,0.008256,70,1,1,70,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1317
0.728628,0.008128,71,1,1,71,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1318
0.728639,0.008192,72,1,1,72,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1319
0.728657,0.008320,73,1,1,73,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1320
0.728676,0.008192,74,1,1,74,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1321
0.728694,0.008448,75,1,1,75,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1322
0.728711,0.008160,76,1,1,76,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1323
0.728730,0.008384,77,1,1,77,1,1,68,0,0.000000,,,,,"TITAN V (0)","1","7","jacld_blts_gpu_kernel(int, int, int, double const *, double const *, double const *, double*, int, int, int)",1324
