"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
48.688756,0.915643,160,160,1,512,1,1,20,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::ssor_gpu_kernel_1$2416(Array<double, int=1, A, mutable, aligned>, int, int, int, double)",3568
48.689673,0.017984,1,1,1,1,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3571
48.689692,0.011040,2,1,1,2,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3574
48.689704,0.010720,3,1,1,3,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3577
48.689766,0.010528,4,1,1,4,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3580
48.690039,0.010592,5,1,1,5,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3583
48.690288,0.010464,6,1,1,6,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3586
48.690535,0.008032,7,1,1,7,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3589
48.690781,0.008032,8,1,1,8,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3592
48.691027,0.007968,9,1,1,9,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3595
48.691274,0.008000,10,1,1,10,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3598
48.691521,0.007904,11,1,1,11,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3601
48.691783,0.007904,12,1,1,12,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3604
48.692031,0.008000,13,1,1,13,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3607
48.692278,0.007968,14,1,1,14,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3610
48.692524,0.007872,15,1,1,15,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3613
48.692770,0.007872,16,1,1,16,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3616
48.693016,0.007936,17,1,1,17,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3619
48.693263,0.007968,18,1,1,18,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3622
48.693532,0.008128,19,1,1,19,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3625
48.693778,0.008064,20,1,1,20,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3628
48.694023,0.008064,21,1,1,21,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3631
48.694268,0.008064,22,1,1,22,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3634
48.694514,0.008160,23,1,1,23,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3637
48.694760,0.008064,24,1,1,24,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3640
48.695006,0.008128,25,1,1,25,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3643
48.695250,0.008064,26,1,1,26,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3646
48.695496,0.008127,27,1,1,27,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3649
48.695748,0.008224,28,1,1,28,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3652
48.695996,0.008608,29,1,1,29,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3655
48.696241,0.008256,30,1,1,30,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3658
48.696487,0.008288,31,1,1,31,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3661
48.696733,0.008160,32,1,1,32,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3664
48.696994,0.008256,33,1,1,33,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3667
48.697238,0.008287,34,1,1,34,1,1,158,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::jacld_blts_gpu_kernel$2414(int, int, int, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, Array<double, int=1, A, mutable, aligned>)",3670
