"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
1.775947,5.281123,256,256,1,257,1,1,32,0,8.046875,,,,,"TITAN V (0)","1","7","rprj3_gpu_kernel(double*, double*, int, int, int, int, int, int, int, int, int, int)",359
1.781229,0.043904,1,256,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_1(double*, int, int, int, int)",360
1.781274,0.007936,1,256,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_2(double*, int, int, int, int)",361
1.781283,0.006816,1,258,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_3(double*, int, int, int, int)",362
1.781290,0.422525,128,128,1,129,1,1,32,0,8.046875,,,,,"TITAN V (0)","1","7","rprj3_gpu_kernel(double*, double*, int, int, int, int, int, int, int, int, int, int)",363
1.781714,0.009856,1,128,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_1(double*, int, int, int, int)",364
1.781724,0.004736,1,128,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_2(double*, int, int, int, int)",365
1.781730,0.004288,1,130,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_3(double*, int, int, int, int)",366
1.781735,0.044928,64,64,1,65,1,1,32,0,8.046875,,,,,"TITAN V (0)","1","7","rprj3_gpu_kernel(double*, double*, int, int, int, int, int, int, int, int, int, int)",367
1.781781,0.004288,1,64,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_1(double*, int, int, int, int)",368
1.781786,0.003904,1,64,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_2(double*, int, int, int, int)",369
1.781791,0.003328,1,66,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_3(double*, int, int, int, int)",370
1.781795,0.008480,32,32,1,33,1,1,32,0,8.046875,,,,,"TITAN V (0)","1","7","rprj3_gpu_kernel(double*, double*, int, int, int, int, int, int, int, int, int, int)",371
1.781805,0.003264,1,32,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_1(double*, int, int, int, int)",372
1.781809,0.002976,1,32,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_2(double*, int, int, int, int)",373
1.781813,0.002976,1,34,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_3(double*, int, int, int, int)",374
1.781817,0.003712,16,16,1,17,1,1,32,0,8.046875,,,,,"TITAN V (0)","1","7","rprj3_gpu_kernel(double*, double*, int, int, int, int, int, int, int, int, int, int)",375
1.781821,0.003040,1,16,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_1(double*, int, int, int, int)",376
1.781825,0.003008,1,16,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_2(double*, int, int, int, int)",377
1.781829,0.002944,1,18,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_3(double*, int, int, int, int)",378
1.781833,0.003424,8,8,1,9,1,1,32,0,8.046875,,,,,"TITAN V (0)","1","7","rprj3_gpu_kernel(double*, double*, int, int, int, int, int, int, int, int, int, int)",379
1.781837,0.003008,1,8,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_1(double*, int, int, int, int)",380
1.781841,0.002944,1,8,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_2(double*, int, int, int, int)",381
1.781845,0.002976,1,10,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_3(double*, int, int, int, int)",382
1.781849,0.003264,4,4,1,5,1,1,32,0,8.046875,,,,,"TITAN V (0)","1","7","rprj3_gpu_kernel(double*, double*, int, int, int, int, int, int, int, int, int, int)",383
1.781853,0.002944,1,4,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_1(double*, int, int, int, int)",384
1.781857,0.002944,1,4,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_2(double*, int, int, int, int)",385
1.781860,0.002976,1,6,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_3(double*, int, int, int, int)",386
1.781864,0.003232,2,2,1,3,1,1,32,0,8.046875,,,,,"TITAN V (0)","1","7","rprj3_gpu_kernel(double*, double*, int, int, int, int, int, int, int, int, int, int)",387
1.781868,0.002912,1,2,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_1(double*, int, int, int, int)",388
1.781872,0.002912,1,2,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_2(double*, int, int, int, int)",389
1.781876,0.002880,1,4,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_3(double*, int, int, int, int)",390
1.781880,0.002464,1,1,1,128,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","zero3_gpu_kernel(double*, int, int, int, int)",391
1.781883,0.003423,2,2,1,4,1,1,32,0,8.046875,,,,,"TITAN V (0)","1","7","psinv_gpu_kernel(double*, double*, double*, int, int, int, int)",392
1.781887,0.002784,1,2,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_1(double*, int, int, int, int)",393
1.781891,0.002880,1,2,1,1024,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","comm3_gpu_kernel_2(double*, int, int, int, int)",394
