"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
56.202669,3.928169,256,256,1,257,1,1,62,0,8.046875,,,,,"TITAN V (0)","1","7","cudapy::__main__::rprj3_gpu_kernel$244(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, int, int, int, int, int, int, int, int)",922
56.206598,0.063072,1,256,1,1024,1,1,18,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_1$248(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",925
56.206662,0.009088,1,256,1,1024,1,1,20,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_2$247(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",928
56.206672,0.006784,1,258,1,1024,1,1,24,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_3$246(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",931
56.206680,0.306910,128,128,1,129,1,1,62,0,8.046875,,,,,"TITAN V (0)","1","7","cudapy::__main__::rprj3_gpu_kernel$244(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, int, int, int, int, int, int, int, int)",938
56.206988,0.008128,1,128,1,1024,1,1,18,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_1$248(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",941
56.206997,0.004928,1,128,1,1024,1,1,20,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_2$247(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",944
56.207002,0.004192,1,130,1,1024,1,1,24,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_3$246(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",947
56.207007,0.044896,64,64,1,65,1,1,62,0,8.046875,,,,,"TITAN V (0)","1","7","cudapy::__main__::rprj3_gpu_kernel$244(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, int, int, int, int, int, int, int, int)",954
56.207053,0.004672,1,64,1,1024,1,1,18,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_1$248(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",957
56.207059,0.004128,1,64,1,1024,1,1,20,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_2$247(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",960
56.207064,0.003424,1,66,1,1024,1,1,24,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_3$246(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",963
56.207068,0.008896,32,32,1,33,1,1,62,0,8.046875,,,,,"TITAN V (0)","1","7","cudapy::__main__::rprj3_gpu_kernel$244(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, int, int, int, int, int, int, int, int)",970
56.207078,0.003584,1,32,1,1024,1,1,18,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_1$248(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",973
56.207082,0.003104,1,32,1,1024,1,1,20,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_2$247(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",976
56.207086,0.003104,1,34,1,1024,1,1,24,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_3$246(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",979
56.207090,0.004000,16,16,1,17,1,1,62,0,8.046875,,,,,"TITAN V (0)","1","7","cudapy::__main__::rprj3_gpu_kernel$244(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, int, int, int, int, int, int, int, int)",986
56.207095,0.003424,1,16,1,1024,1,1,18,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_1$248(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",989
56.207099,0.003136,1,16,1,1024,1,1,20,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_2$247(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",992
56.207103,0.003072,1,18,1,1024,1,1,24,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_3$246(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",995
56.207107,0.003616,8,8,1,9,1,1,62,0,8.046875,,,,,"TITAN V (0)","1","7","cudapy::__main__::rprj3_gpu_kernel$244(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, int, int, int, int, int, int, int, int)",1002
56.207111,0.003456,1,8,1,1024,1,1,18,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_1$248(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1005
56.207116,0.003104,1,8,1,1024,1,1,20,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_2$247(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1008
56.207120,0.003104,1,10,1,1024,1,1,24,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_3$246(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1011
56.207124,0.003616,4,4,1,5,1,1,62,0,8.046875,,,,,"TITAN V (0)","1","7","cudapy::__main__::rprj3_gpu_kernel$244(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, int, int, int, int, int, int, int, int)",1018
56.207128,0.003360,1,4,1,1024,1,1,18,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_1$248(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1021
56.207132,0.003072,1,4,1,1024,1,1,20,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_2$247(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1024
56.207136,0.003040,1,6,1,1024,1,1,24,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_3$246(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1027
56.207140,0.003616,2,2,1,3,1,1,62,0,8.046875,,,,,"TITAN V (0)","1","7","cudapy::__main__::rprj3_gpu_kernel$244(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, int, int, int, int, int, int, int, int)",1034
56.207145,0.003008,1,2,1,1024,1,1,18,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_1$248(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1037
56.207149,0.003040,1,2,1,1024,1,1,20,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_2$247(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1040
56.207152,0.002976,1,4,1,1024,1,1,24,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_3$246(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1043
56.207156,0.002528,1,1,1,128,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::zero3_gpu_kernel$243(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1048
56.207160,0.004480,2,2,1,4,1,1,56,0,8.046875,,,,,"TITAN V (0)","1","7","cudapy::__main__::psinv_gpu_kernel$242(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, int, int)",1055
56.207165,0.002944,1,2,1,1024,1,1,18,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_1$248(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1058
56.207169,0.003072,1,2,1,1024,1,1,20,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_2$247(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1061
56.207173,0.003104,1,4,1,1024,1,1,24,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_3$246(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1064
56.207177,0.002560,2,1,1,128,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::zero3_gpu_kernel$243(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1069
56.207180,0.004352,3,3,1,4,1,1,40,0,12.070312,,,,,"TITAN V (0)","1","7","cudapy::__main__::interp_gpu_kernel$241(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, int, int, int, int, int)",1076
56.207185,0.004416,4,4,1,6,1,1,56,0,8.046875,,,,,"TITAN V (0)","1","7","cudapy::__main__::resid_gpu_kernel$249(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, int, int)",1085
56.207191,0.003104,1,4,1,1024,1,1,18,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_1$248(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1088
56.207194,0.003040,1,4,1,1024,1,1,20,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_2$247(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1091
56.207198,0.003072,1,6,1,1024,1,1,24,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_3$246(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1094
56.207202,0.004416,4,4,1,6,1,1,56,0,8.046875,,,,,"TITAN V (0)","1","7","cudapy::__main__::psinv_gpu_kernel$242(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, int, int)",1101
56.207207,0.003040,1,4,1,1024,1,1,18,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_1$248(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1104
56.207211,0.003040,1,4,1,1024,1,1,20,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_2$247(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1107
56.207215,0.003040,1,6,1,1024,1,1,24,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::comm3_gpu_kernel_3$246(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1110
56.207219,0.002560,8,1,1,128,1,1,16,0,0.000000,,,,,"TITAN V (0)","1","7","cudapy::__main__::zero3_gpu_kernel$243(Array<double, int=1, A, mutable, aligned>, int, int, int, int)",1115
56.207222,0.004224,5,5,1,6,1,1,40,0,12.070312,,,,,"TITAN V (0)","1","7","cudapy::__main__::interp_gpu_kernel$241(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, int, int, int, int, int)",1122
56.207227,0.004384,8,8,1,10,1,1,56,0,8.046875,,,,,"TITAN V (0)","1","7","cudapy::__main__::resid_gpu_kernel$249(Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, Array<double, int=1, A, mutable, aligned>, int, int, int, int, int)",1131
